,Unnamed: 0,Star_name,Distance,Mass,Radius,Unnamed: 6,Star_name.1,Distance.1,Mass.1,Radius.1
69,69,Mira,0300,1.2,370,,,,,
70,70,RW Cephei,"014,000",13.9,"1,158",,,,,
71,71,Lacaille 8760,012.87,0.6,0.51,,,,,
72,72,V838 Monocerotis,"019,896",?,380 - 750,,,,,
73,73,HD 140283,0190,?,1.4,,,,,
74,74,II Pegasi,0130,0.8,3.4,,,,,
75,75,VY Canis Majoris,"03,900",17,"1,420",,,,,
76,76,Pistol Star,"025,000",100,320,,,,,
77,77,S Doradus,"0169,000",24,380,,,,,
78,78,UY Scuti,"05,100",7–10,755,,,,,
79,79,Barnard's Star,05.98,0.14,0.20,,,,,
80,80,Luhman 16,06.52,0.04,?,,,,,
81,81,Proxima Centauri,04.25,0.12,0.15,,,,,
82,82,KIC 8462852,"01,470",1.43,1.58,,,,,
83,83,R136a1,"0163,000",290,32,,,,,
84,84,Melnick 42,"0163,000",189,21.1,,,,,
85,85,WR 102,"018,134",19,0.39,,,,,
86,86,VFTS 352,"0164,000",57.48,14.47,,,,,
87,87,YBP 1194,"02,772",1.01,0.99,,,,,
88,88,Gliese 1214,047.5,0.16,0.21,,,,,
89,89,NML Cygni,"05,251",50,"1,640 - 2,770",,,,,
90,90,VB 10,018.72,0.075,0.10,,,,,
91,91,WOH G64,"0163,000",<20,"1,540 - 1,730",,,,,
92,92,TRAPPIST-1,039.6,0.089,0.12,,,,,
93,93,2MASS J0523-1403,040.3,0.07,0.086,,,,,
94,94,WISE 0855−0714,07.27,0.003,?,,,,,
95,95,Icarus,"014,400,000,000",33,?,,,,,
96,0,SDSS J000013.54+255418.6 [de],46.1,0.045820224,0.10173536999999999,,,,,
97,1,2MASS J00040288-6410358,192.0,0.018137172,0.16750368999999998,,,,,
98,2,2MASS J00242463-0158201,37.7,0.075412452,0.11201167000000001,,,,,
99,3,2MASS J00274197+0503417,236.0,0.029592228,0.14797871999999998,,,,,
100,4,2MASSW J0030300-145033,87.2,0.051547752,0.10070773999999999,,,,,
101,5,2MASS J00332386-1521309 [de],131.0,0.027683052,0.14695108999999998,,,,,
102,6,2MASS J00345157+0523050,31.0,0.040092696000000004,0.09659721999999998,,,,,
103,7,2MASS 0036+1821,28.6,0.040092696000000004,0.09659721999999998,,,,,
104,8,2MASSW J0045214+163445,57.0,0.021955524,0.16647606,,,,,
105,9,WISEP J004701.06+680352.1 [fr],40.0,0.011455056,0.13359189999999999,,,,,
106,10,2MASS J00501994-3322402 [de],34.0,0.03818352,0.09659721999999998,,,,,
107,11,2MASS J00584253-0651239 [de],96.0,0.027683052,0.14695108999999998,,,,,
108,12,2MASSI J0103320+193536,70.0,0.049638576000000004,0.10070773999999999,,,,,
109,13,SDSSp J010752.33+004156.1 [de],51.0,0.049638576000000004,0.10070773999999999,,,,,
110,14,2MASSI J0117474-340325 [de],163.0,0.01909176,0.16647606,,,,,
111,15,2MASS J01415823-4633574 [de],130.0,0.01909176,0.16544843,,,,,
112,16,SDSS J015141.69+124429.6,70.0,0.044865636,0.09968010999999999,,,,,
113,17,SDSS J020742.48+000056.2 [de],111.0,0.044865636,0.09968010999999999,,,,,
114,18,2MASS J02103857-3015313,101.0,0.014318820000000001,0.15722739,,,,,
115,19,2MASS J02340093-6442068,155.0,0.01909176,0.16647606,,,,,
116,20,2MASS J02411151-0326587 [de],152.0,0.025773876,0.14489582999999998,,,,,
117,21,2MASS J02431371−2453298,35.0,0.031501404000000004,0.10173536999999999,,,,,
118,22,LP 771-21,53.0,0.074457864,0.11098404,,,,,
119,23,Teegarden's star,12.578,0.07636704,0.13050900999999998,,,,,
120,24,2MASS J02535980+3206373,184.0,0.06204822,0.19524969999999997,,,,,
121,25,WISE J0254+0223,24.0,0.06204822,0.19524969999999997,,,,,
122,26,DEN 0255-4700,16.2,0.07636704,0.09968010999999999,,,,,
123,27,2MASS J03185403-3421292 [de],45.0,0.046774812,0.09968010999999999,,,,,
124,28,2MASS J03205965+1854233,47.0,0.084003744,0.11817744999999999,,,,,
125,29,2MASS J03231002-4631237,192.0,0.021955524,0.17058658,,,,,
126,30,SDSS J032553.17+042540.1,59.0,0.04295646,0.09762484999999999,,,,,
127,31,2MASS J03264225-2102057 [de],80.0,0.017182584,0.13359189999999999,,,,,
128,32,2MASS J03284265+2302051 [de],98.0,0.051547752,0.10070773999999999,,,,,
129,33,2MASS J03341218-4953322,27.0,0.069684924,0.10687352,,,,,
130,34,LP 944-20,20.9,0.069684924,0.14695108999999998,,,,,
131,35,2MASP J0345432+254023,88.0,0.070639512,0.10790115,,,,,
132,36,Teide 1,380.0,0.05250234,0.38844413999999994,,,,,
133,37,2MASS J03510004-0052452,48.0,0.09736797600000001,0.13050900999999998,,,,,
134,38,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,,,,,
135,39,2MASS J04151954−0935066,18.6,0.028637640000000002,0.09762484999999999,,,,,
136,40,2MASS J04285096-2253227 [de],85.0,0.07636704,0.11201167000000001,,,,,
137,41,2MASS J04351612-1606574,34.0,0.0954588,0.12948137999999998,,,,,
138,42,2MASS J04362788-4114465,142.0,0.037228932,0.20244310999999998,,,,,
139,43,2MASS J04390101-2353083 [de],29.5,0.045820224,0.09968010999999999,,,,,
140,44,2MASS J04433764+0002040,82.0,0.021000936,0.18291813999999998,,,,,
141,45,2MASS J04455387-3048204 [de],42.0,0.061093632,0.102763,,,,,
142,46,2MASS J04510093-3402150 [de],69.0,0.00099277152,7.398935999999999,,,,,
143,47,2MASS J05002100+0330501 [de],44.0,0.061093632,0.102763,,,,,
144,48,2MASS J05012406-0010452 [de],64.0,0.020046348000000002,0.14181293999999997,,,,,
145,49,2MASS J05160945-0445499 [de],73.0,0.044865636,0.09968010999999999,,,,,
146,50,2MASS J0523−1403,40.0,0.064911984,0.10379063,,,,,
147,51,SDSS J053951.99-005902.0,41.62,0.058229868000000004,0.10379063,,,,,
148,52,LSR 0602+3910 [de],34.6,0.026728464,0.14489582999999998,,,,,
149,53,2MASS J06085283-2753583,102.0,0.036274344,0.15517213,,,,,
150,54,2MASS J06244595-4521548 [de],39.0,0.053456928,0.10173536999999999,,,,,
151,55,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,,,,,
152,56,DENIS-P J0652197-253450 [de],51.0,0.07159410000000001,0.10790115,,,,,
153,57,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,,,,,
154,58,UGPS J072227.51-054031.2,13.4,0.024819288000000002,0.10070773999999999,,,,,
155,59,2MASSI J0727182+171001 [de],29.6,0.039138108,0.09659721999999998,,,,,
156,60,2MASS J07290002-3954043 [de],25.8,0.035319756,0.09659721999999998,,,,,
157,61,SDSS J074201.41+205520.5 [de],49.0,0.041047284,0.09659721999999998,,,,,
158,62,DENIS-P J0751164-253043 [de],55.0,0.067775748,0.10584589,,,,,
159,63,2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999999,,,,,
160,64,DENIS J081730.0-615520,16.1,0.042001872,0.09659721999999998,,,,,
161,65,2MASS J08251968+2115521 [de],35.0,0.049638576000000004,0.10070773999999999,,,,,
162,66,SDSSp J083008.12+482847.4 [de],43.0,0.045820224,0.10173536999999999,,,,,
163,67,LHS 2021,55.0,0.084003744,0.11817744999999999,,,,,
164,68,SDSS J083048.80+012831.1 [de],77.0,0.043911048,0.09865247999999999,,,,,
165,69,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763,,,,,
166,70,2MASSI J0847287-153237 [de],43.0,0.061093632,0.102763,,,,,
167,71,2MASS J08533619-0329321,27.6,0.073503276,0.10995641,,,,,
168,72,2MASSI J0859254-194926 [de],50.0,0.0477294,0.10070773999999999,,,,,
169,73,2MASSI J0937347+293142,20.0,0.040092696000000004,0.09659721999999998,,,,,
170,74,2MASS 0939−2448,17.4,0.030546816,0.09762484999999999,,,,,
171,75,2MASS J09490860-1545485 [de],59.0,0.046774812,0.09865247999999999,,,,,
172,76,2MASS J10073369-4555147,46.0,0.042001872,0.09659721999999998,,,,,
173,77,2MASSI J1010148-040649 [de],55.0,0.048683988000000004,0.10070773999999999,,,,,
174,78,2MASS J10224821+5825453 [de],60.0,0.025773876,0.14489582999999998,,,,,
175,79,2MASSW J1036530-344138 [de],53.0,0.046774812,0.09968010999999999,,,,,
176,80,2MASS J1047538+212423 [de],34.4,0.040092696000000004,0.09659721999999998,,,,,
177,81,DEN 1048-3956,13.15,0.073503276,0.10995641,,,,,
178,82,Luhman 16B,6.516,0.041047284,0.10481826,,,,,
179,83,Luhman 16A,6.516,0.03818352,0.10379063,,,,,
180,84,DENIS-P J1058.7−1548,49.0,0.061093632,0.102763,,,,,
181,85,TWA 28,180.0,0.034365168,0.24560357,,,,,
182,86,Cha 110913-773444,163.0,0.007636704,0.18497339999999998,,,,,
183,87,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,,,,,
184,88,2MASS J11145133−2618235,18.2,0.031501404000000004,0.09865247999999999,,,,,
185,89,TWA 26,137.0,0.028637640000000002,0.2260786,,,,,
186,90,2MASS J11544223-3400390 [de],129.0,0.035319756,0.1541445,,,,,
187,91,2MASSW J1155395-372735 [de],31.0,0.061093632,0.102763,,,,,
188,92,2MASS J12074836-3900043,217.0,0.016227996,0.17572473,,,,,
189,93,2MASSI J1217110-031113 [de],36.0,0.040092696000000004,0.09659721999999998,,,,,
190,94,2M 1237+6526,45.6,0.039138108,0.09659721999999998,,,,,
191,95,TWA 29,262.0,0.001909176,2.5690749999999998,,,,,
192,96,SDSSp J125453.90-012247.4 [de],38.0,0.044865636,0.10070773999999999,,,,,
193,97,Kelu-1A,61.0,0.060139044,0.10070773999999999,,,,,
194,98,Kelu-1B,61.0,0.055366104,0.10070773999999999,,,,,
195,99,2MASS J13204427+0409045,101.0,0.063957396,0.10379063,,,,,
196,100,SDSSp J132629.82-003831.5 [de],65.0,0.048683988000000004,0.09968010999999999,,,,,
197,101,SDSSp J134646.45-003150.4 [de],48.0,0.042001872,0.09659721999999998,,,,,
198,102,2MASS J13595510-4034582,51.0,0.060139044,0.102763,,,,,
199,103,ULAS J141623.94+134836.3,29.7,0.030546816,0.09865247999999999,,,,,
200,104,SDSS J141659.78+500626.4 [de],149.0,0.056320692,0.10173536999999999,,,,,
201,105,DENIS-P J142527.97-365023.4 [de],38.0,0.020046348000000002,0.13564716,,,,,
202,106,LHS 2924,38.5,0.072548688,0.10892878,,,,,
203,107,2MASS J14392837+1929150,47.0,0.068730336,0.10584589,,,,,
204,108,LSPM J1440+1339,72.0,0.087822096,0.12228796999999998,,,,,
205,109,2MASS J14482563+1031590 [de],47.0,0.056320692,0.10173536999999999,,,,,
206,110,CFBDSIR 1458+10A,104.0,0.0105959268,0.1541445,,,,,
207,111,CFBDSIR 1458+10B,104.0,0.008591292,0.13359189999999999,,,,,
208,112,TVLM 513-46546,35.1,0.07159410000000001,0.10790115,,,,,
209,113,2MASS 1503+2525,20.7,0.042001872,0.09659721999999998,,,,,
210,114,CFBDS J150411+102717,71.0,0.042001872,0.09659721999999998,,,,,
211,115,2MASSW J1506544+132106 [de],46.0,0.065866572,0.10481826,,,,,
212,116,2MASS 1507−1627,23.9,0.057275280000000005,0.10173536999999999,,,,,
213,117,TVLM 868-110639,53.0,0.075412452,0.11098404,,,,,
214,118,2MASSW J1515008+484742 [de],34.0,0.054411516,0.10173536999999999,,,,,
215,119,2MASSI J1526140+204341 [de],67.0,0.051547752,0.10070773999999999,,,,,
216,120,DENIS-P J153941.96-052042.4 [de],51.0,0.060139044,0.102763,,,,,
217,121,2MASS J15462718-3325111 [de],37.0,0.042001872,0.09659721999999998,,,,,
218,122,2MASSW J1552591+294849 [de],68.0,0.028637640000000002,0.14695108999999998,,,,,
219,123,2MASSW J1555157-095605 [de],44.0,0.067775748,0.10584589,,,,,
220,124,2MASS J16150413+1340079 [de],48.0,0.040092696000000004,0.09659721999999998,,,,,
221,125,SDSSp J162414.37+002915.6 [de],36.0,0.041047284,0.09659721999999998,,,,,
222,126,2MASS J16262034+3925190 [de],110.0,0.067775748,0.10584589,,,,,
223,127,2MASSW J1632291+190441 [de],50.0,0.046774812,0.09968010999999999,,,,,
224,128,WISEPA J164715.59+563208.2,28.0,0.039138108,0.09659721999999998,,,,,
225,129,LSPM J1658+7027 [de],60.0,0.069684924,0.10687352,,,,,
226,130,2MASSI J1726000+153819,114.0,0.022910112,0.14386819999999997,,,,,
227,131,SDSSp J175032.96+175903.9,90.0,0.044865636,0.09968010999999999,,,,,
228,132,2MASS J18283572-4849046,39.0,0.04295646,0.09762484999999999,,,,,
229,133,LSR J1835+3259,18.5,0.073503276,0.10995641,,,,,
230,134,2MASSW J1841086+311727,138.0,0.063957396,0.10379063,,,,,
231,135,2MASS J18432213+4040209,46.0,0.091640448,0.12537086,,,,,
232,136,2MASS J20004841-7523070,105.0,0.0238647,0.19319443999999997,,,,,
233,137,SDSS J204749.61-071818.3,65.0,0.043911048,0.09865247999999999,,,,,
234,138,2MASSI J2057540-025230,47.0,0.06682116,0.10481826,,,,,
235,139,2MASSI J2104149-103736,62.0,0.065866572,0.10481826,,,,,
236,140,PSO J318.5−22,80.0,0.0062048220000000005,0.15722739,,,,,
237,141,HB 2124-4228,113.0,0.089731272,0.12434322999999999,,,,,
238,142,2MASS J21392676+0220226,32.1,0.043911048,0.09865247999999999,,,,,
239,143,2MASS J21481628+4003593,26.3,0.05250234,0.10173536999999999,,,,,
240,144,2MASSW J2206450-421721,93.0,0.021000936,0.13667479,,,,,
241,145,2MASSW J2208136+292121,154.0,0.025773876,0.14489582999999998,,,,,
242,146,2MASSW J2224438-015852,38.0,0.058229868000000004,0.10173536999999999,,,,,
243,147,2MASS J22282889-4310262,35.0,0.040092696000000004,0.09659721999999998,,,,,
244,148,2MASS J22373255+3922398,64.0,0.069684924,0.10687352,,,,,
245,149,2MASSW J2244316+204343,56.0,0.011455056,0.13256426999999998,,,,,
246,150,2MASS J23224684-3133231,56.0,0.022910112,0.14284056999999997,,,,,
247,151,2MASS J23225299-6151275,148.0,0.016227996,0.16339317,,,,,
248,152,2MASS J23515044-2537367,67.0,0.084003744,0.11920507999999998,,,,,
249,153,2MASSI J2356547-155310,74.0,0.07636704,0.11201167000000001,,,,,
250,154,WISE 0410+1502,20.0,0.005727528,0.12023270999999998,,,,,
251,155,WISE 0458+6434A,35.9,0.014318820000000001,0.4316046,,,,,
252,156,WISE 0458+6434B,35.9,0.00954588,0.39049939999999994,,,,,
253,157,WISE 1405+5534,25.3,0.028637640000000002,0.08837618,,,,,
